id,nombre,correo,tipo
1,Ana,ana@email.com,Normal
2,Juan,juan@email.com,Premium
3,Lucía,lucia@email.com,Inactivo
4,Pedro,pedro@email.com,Normal
5,María,maria@email.com,Premium
6,Andrés,andres@email.com,Inactivo
7,Laura,laura@email.com,Normal
8,Carlos,carlos@email.com,Premium
9,Luisa,luisa@email.com,Inactivo
10,Fernando,fernando@email.com,Normal
11,Isabel,isabel@email.com,Premium
12,Mateo,mateo@email.com,Inactivo
13,Sofía,sofia@email.com,Normal
14,Diego,diego@email.com,Premium
15,Valentina,valentina@email.com,Inactivo
16,Manuel,manuel@email.com,Normal
17,Paula,paula@email.com,Premium
18,Camilo,camilo@email.com,Normal
19,Daniela,daniela@email.com,Inactivo
20,Julian,julian@email.com,Premium
